Size,Seq,Par,Libc
100, 0.000036, 0.024784, 0.000034
100, 0.000037, 0.019845, 0.000024
100, 0.000025, 0.008516, 0.000016
100, 0.000015, 0.006153, 0.000014
100, 0.000012, 0.004617, 0.000010
1000, 0.000138, 0.017461, 0.000094
1000, 0.000096, 0.012274, 0.000088
1000, 0.000092, 0.012785, 0.000094
1000, 0.000092, 0.016096, 0.000090
1000, 0.000098, 0.017814, 0.000093
10000, 0.001145, 0.033707, 0.001130
10000, 0.001148, 0.032937, 0.001574
10000, 0.001148, 0.030360, 0.001213
10000, 0.001139, 0.029740, 0.001261
10000, 0.001160, 0.034100, 0.001156
100000, 0.014164, 0.037698, 0.014326
100000, 0.014011, 0.041488, 0.014548
100000, 0.014014, 0.037978, 0.014426
100000, 0.014027, 0.042378, 0.014271
100000, 0.014008, 0.041896, 0.014323
1000000, 0.166301, 0.139675, 0.170991
1000000, 0.167930, 0.139176, 0.170285
1000000, 0.168812, 0.135579, 0.170289
1000000, 0.165901, 0.141903, 0.173678
1000000, 0.164500, 0.136476, 0.170687
